,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Catania,145.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,"2,5 vani",,6,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,146.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,10 mq,,6,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,147.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,11 mq,,6,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,148.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,2 vani,,6,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,149.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,6 mq,,6,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,150.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,12 mq,,6,,,progetto sociale,,abitazione e solai di pertinenza,via vallazze,
Catania,151.0,,angel service soc. coop. soc. arl onlusvia vallazze n. 10420131 milano,22 mq,,3,,,progetto sociale,,negozio,via vallazze,
Catania,152.0,,angel service soc. coop. soc. arl onlusvia vallazze n. 10420131 milano,12 mq,,3,,,progetto sociale,,cantina,via vallazze,
Catania,153.0,,cooperativa sociale comunit del giambellinovia bellini gentile 620146 milano,"4,5 vani",,5,,,progetto sociale,,appart.,via val isorno,
Catania,154.0,,fondazione exodus onlusvle marotta 18/2020134 milano,105 mq,,5,,,progetto sociale,,autosalone e box di pertinenza,via varesina,
Catania,155.0,,fondazione exodus onlusvle marotta 18/2020134 milano,11 mq,,5,,,progetto sociale,,box,via varesina,
Catania,156.0,,associazione laltropallone ads onlusvia angera 320125 milano,21 mq,,4,,,progetto sociale,,locale commerciale,via venini,
