,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Catania,10.0,,"cooperativa sociale aromi a tutto campovia ippocrate,4520161 milano",23 mq.,,3,,,progetto sociale,,box,via bembo,
Catania,11.0,,gestione direttacomune di milanosettore residenzialit,"1,5 vani",,,,,progetto sociale,,abitazione,via bessarione,
Catania,12.0,,gestione direttacomune di milanosettore residenzialit,8 vani,,,,,progetto sociale,,abitazione,via bianchi mos,
Catania,13.0,,"associazione societ di san vincenzo d paoli consiglio centrale di milano onlusvia pisacane, 3220129 milano",3 vani,,5,,,progetto sociale,,abitazione,via bianchi mos,
Catania,14.0,,comunit santegidio acap onlus via lanzone 1320123 milano,"9,5 vani",,15,,,progetto sociale,,abitazione,via bianco mario,
Catania,15.0,,associazione progetto itaca onlusvia alessandro volta 7/a20121 milano,6 vani,,6,,,progetto sociale,,abitazione,viale brianza,
Catania,16.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,14 mq,,6,,,progetto sociale,,box,via brusuglio,
Catania,17.0,,"soc. coop. sociale spazio aperto servizi onlusvia gorki, 520146 milano",5 vani,,3,,,progetto sociale,,abitazione,via burlamacchi,
Catania,18.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,4 vani,,6,,,progetto sociale,,abitazione,via cambiasi,
Catania,19.0,,fondazione don carlo gnocchi onlus piazzale r. morandi 620121 milano,8 vani,,10,,,progetto sociale,,abitazione,via canonica,
Catania,20.0,,associazione di volontariato aldo perini onlus p.zza pompeo castelli 1020156 milano,36 mq,,5,,,progetto sociale,,locale commerciale,via cenisio,
Catania,21.0,,"consorzio farsi prossimo onlusvia san bernadino, 42011 milano",4 vani,,in corso proroga,,,progetto sociale,,abitazione,via ceriani,
Catania,22.0,,associazione il balzovle etiopia 620146 milano,63 mq,,5,,,progetto sociale,,"negozio, magazzino e cantina di pertinenza del negozio",via ceriani,
Catania,23.0,,associazione il balzovle etiopia 620146 milano,18 mq,,5,,,progetto sociale,,"negozio, magazzino e cantina di pertinenza del negozio",via ceriani,
Catania,24.0,,associazione il balzovle etiopia 620146 milano,19 mq,,5,,,progetto sociale,,"negozio, magazzino e cantina di pertinenza del negozio",via ceriani,
Catania,25.0,,associazione di promozione sociale jointvia giovanola 25/c20142 milano,"1,5 vani",,10,,,progetto sociale,,abitazione,via clusone,
Catania,26.0,,fondazione don carlo gnocchi onluspiazzale r. morandi 620121 milano,"5,5 vani",,10,,,progetto sociale,,abitazioni di tipo economico,via concilio vaticano ii,
Catania,27.0,,societ cooperativa sociale la stradavia giovanni battista piazzetta 220139 milano,11 vani,,10,,,progetto sociale,,villetta a schiera e box di pertinenza,via del mare,
Catania,28.0,,societ cooperativa sociale la stradavia giovanni battista piazzetta 220139 milano,22 mq,,10,,,progetto sociale,,villetta a schiera e box di pertinenza,via del mare,
Catania,29.0,,associazione comunit s. patrignano libera associazione onlusvia san patrignano 5347853 coriano rn,"15,5 vani",,10,,,progetto sociale,,villetta a schiera doppia e box di pertinenza,via del mare,
Catania,30.0,,associazione comunit s. patrignano libera associazione onlusvia san patrignano 5347853 coriano rn,16 mq,,10,,,progetto sociale,,villetta a schiera doppia e box di pertinenza,via del mare,
Catania,31.0,,associazione comunitpapa giovanni xxiiivia mameli 147900 rimini,8 vani,,10,,,progetto sociale,,villetta a schiera e box di pertinenza,via del mare,
Catania,32.0,,associazione comunitpapa giovanni xxiiivia mameli 147900 rimini,18 mq,,10,,,progetto sociale,,villetta a schiera e box di pertinenza,via del mare,
Catania,33.0,,gestione direttacomune di milanosettore residenzialit,"3,5 vani",,,,,progetto sociale,,abitazione,via della francesca pier,
Catania,34.0,,erika associazione per la lotta ai disturbi del comportamentop.zza ospedale maggiore 320162 milanoc/o centro per la cura dei disturbi alimentari dellazienda ospedaliera niguarda c granda,"3,5 vani",,5,,,progetto sociale,,abitazione,via della pila lanfranco,
Catania,35.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,45 mq,,10,,,progetto sociale,,magazzino,via dolomiti,
Catania,36.0,,associazione gruppo di betania onlusvia ettore ciccotti 920161 milano,"2,5 vani",,5,,,progetto sociale,,abitazione,via farini,
Catania,37.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,"2,5 vani",,6,,,progetto sociale,,abitazione,via farini,
Catania,38.0,,associazione saman onlusvia bolzano 2620127 milano,3 vani,,10,,,progetto sociale,,abitazione,via farini,
Catania,39.0,,fondazione progetto arca onlusvia s. giovanni alla paglia 720124 milano,"1,5 vani",,10,,,progetto sociale,,abitazione,via folli,
Catania,40.0,,associazione centro di aiuto alla vita mangiagalli onlusvia della commenda 1220122 milano,46 mq,,10,,,progetto sociale,,locale commerciale,via f.lli cervi,
Catania,41.0,,societ cooperativa sociale arca di novia tertuliano 7020137 milano,"1,5 vani",,4,,,progetto sociale,,abitazione,via imbriani,
Catania,42.0,,associazione arch onlusvia cagliero 2620125 milano,3 vani,,4,,,progetto sociale,,locale commerciale,via jean jaures,
Catania,43.0,,gestione direttacomune di milanosettore residenzialit,"8,5 vani",,,,,progetto sociale,,abitazione e box di pertinenza,viale jenner,
Catania,44.0,,gestione direttacomune di milanosettore residenzialit,14 mq,,,,,progetto sociale,,abitazione e box di pertinenza,viale jenner,
Catania,45.0,,"soc. coop. sociale spazio aperto servizi onlusvia gorki, 520146 milanoc.f / p.iva 10860990158",5 vani,,3,,,progetto sociale,,abitazione,via lambro,
