n. unità,tipologia,consistenza,ubicazione,concessionari ,durata anni,progetto
67,abitazione,"3,5 vani",Via Oxilia,Associazione Opera San Francescoper i PoveriCorso Concordia 320129 Milano,10,Progetto Sociale
68,abitazione,"2,5 vani",Via Padova,Associazione Centro Ambrosiano di Solidarietà OnlusVia Marotta n. 820134 Milano,3,Progetto Sociale
69,Abitazione e cantine di pertinenza,"3,5 vani",Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
70,Abitazione e cantine di pertinenza,10 mq,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
71,Abitazione e cantine di pertinenza,11 mq,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
72,Abitazione e cantine di pertinenza,12 mq,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
73,abitazione,1 vano,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
74,"Abitazione, cantina e sottotetto di pertinenza",10 mq,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
75,"Abitazione, cantina e sottotetto di pertinenza",7 mq,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
76,"Abitazione, cantina e sottotetto di pertinenza",116 mq,Via Padova,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
77,abitazione,"1,5 vani",Via Parenzo,Gestione direttaComune di MilanoSettore Residenzialità,,Progetto Sociale
78,negozio,21 mq,Via Paisiello,Ass. Gruppo Volontari OnlusVia G. Lulli n. 3220131 Milano,10,Progetto Sociale
79,negozio,22 mq,Via Paisiello,Ass. Gruppo Volontari OnlusVia G. Lulli n. 3220131 Milano,10,Progetto Sociale
80,cantina,57 mq,Via Paisiello,Ass. Gruppo Volontari OnlusVia G. Lulli n. 3220131 Milano,10,Progetto Sociale
81,abitazione,4 vani,Via Pianell ,Società Cooperativa Sociale Farsi Prossimo OnlusVia San Bernardino 420122 Milano,10,Progetto Sociale
82,abitazione,4 vani,Via Pianell ,Associazione Centro di Aiuto alla Vita Mangiagalli OnlusVia della Commenda 1220122 Milano,10,Progetto Sociale
83,abitazione,"1,5 vani",Via Rinuccini,Gestione direttaComune di MilanoSettore Residenzialità,,Progetto Sociale
84,negozio,60 mq,Via Riva di Trento,Associazione di Promozione Sociale JointVia Giovanola 25/c20142 Milano,3,Progetto Sociale
85,Complesso Immobiliare,3 vani,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
86,Complesso Immobiliare,3 vani,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
87,Complesso Immobiliare,"5,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
88,Complesso Immobiliare,"5,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
89,Complesso Immobiliare,"3,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
90,Complesso Immobiliare,"3,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
91,Complesso Immobiliare,"3,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,In fase di stipula contratto,Progetto Sociale
92,Complesso Immobiliare,"3,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
93,Complesso Immobiliare,"11,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto ,Progetto Sociale
94,Complesso Immobiliare,"6,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
95,Complesso Immobiliare,"6,5 vani",Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
96,Complesso Immobiliare,24 mq,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
97,Complesso Immobiliare,terreno,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
98,Complesso Immobiliare,terreno,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
99,Complesso Immobiliare,terreno,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
100,Complesso Immobiliare,terreno,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
101,Complesso Immobiliare,terreno,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,in fase di stipula contratto,Progetto Sociale
102,Complesso Immobiliare,terreno,Via Sant'Arialdo,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,,Progetto Sociale
103,abitazione,6 vani,Via Santa Marcellina,"Associazione di Volontariato Vittime del DovereVia Correggio, 5920900 Monza (MB)C.F. 94605940157",3,Progetto Sociale
104,box,17 mq.,Via Santa Marcellina,"Associazione di Volontariato Vittime del DovereVia Correggio, 5920900 Monza (MB)C.F. 94605940157",3,Progetto Sociale
105,box,17 mq,Via Santa Marcellina,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
106,abitazione,6 vani,Viale Sarca,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
107,abitazione,2 vani,Via Serio,Associazione di Volontariato CAM Centro Ausiliario per i Problemi MinoriliVia Leopardi 2120123 Milano,5,Progetto Sociale
108,abitazione,3 vani,Via Serra Renato,Società Cooperativa Sociale Comunità Progetto a r.l.Via Soperga 1320127 Milano,10,Progetto Sociale
109,abitazione,"2,5 vani",Via Sommacampagna,Associazione Comunità Nuova Onlus Via F. Gonin 820147 Milano,10,Progetto Sociale
110,box,22 mq,Via Torre C.,Cooperativa Sociale Saman LavoroVia Bolzano 2620127 Milano,10,Progetto Sociale
111,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
112,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
113,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
114,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
115,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
116,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
117,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
118,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
119,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
120,box,23 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
121,box,23 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
122,box,23 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
123,box,19 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
124,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
125,box,20 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
126,box,13 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
127,box,29 mq,Via Torre C.,Società Cooperativa Sociale di Solidarietà OmnicoopVia Basilea 420152 Milano,10,Progetto Sociale
128,abitazione,1 vani,Via Torriani Napo,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale 
129,abitazione,"1,5 vani",Via Torriani Napo,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
130,abitazione e solaio di pertinenza,1 vani,Via Vallazze,Associazione PapaSeparatiLombardia OnlusVia Salvo d’Acquisto 1220037 Paderno Dugnano (MI),10,Progetto Sociale
131,abitazione e solaio di pertinenza,14 mq,Via Vallazze,Associazione PapaSeparatiLombardia OnlusVia Salvo d’Acquisto 1220037 Paderno Dugnano (MI),10,Progetto Sociale
132,abitazione e solai di pertinenza,1 vani,Via Vallazze,Associazione PapaSeparatiLombardia OnlusVia Salvo d’Acquisto 1220037 Paderno Dugnano (MI),10,Progetto Sociale
133,abitazione e solai di pertinenza,25 mq,Via Vallazze,Associazione PapaSeparatiLombardia OnlusVia Salvo d’Acquisto 1220037 Paderno Dugnano (MI),10,Progetto Sociale
134,abitazione e solai di pertinenza,24 mq,Via Vallazze,Associazione PapaSeparatiLombardia OnlusVia Salvo d’Acquisto 1220037 Paderno Dugnano (MI),10,Progetto Sociale
135,abitazione e solaio di pertinenza,1 vani,Via Vallazze,Associazione Opera San Francescoper i PoveriCorso Concordia 320129 Milano,10,Progetto Sociale
136,abitazione e solaio di pertinenza,24 mq,Via Vallazze,Associazione Opera San Francescoper i PoveriCorso Concordia 320129 Milano,10,Progetto Sociale
137,"abitazione, cantina e solaio di pertinenza ",1 vani,Via Vallazze,Associazione Opera San Francescoper i PoveriCorso Concordia 320129 Milano,10,Progetto Sociale
138,"abitazione, cantina e solaio di pertinenza ",10 mq,Via Vallazze,Associazione Opera San Francescoper i PoveriCorso Concordia 320129 Milano,10,Progetto Sociale
139,"abitazione, cantina e solaio di pertinenza ",17 mq,Via Vallazze,Associazione Opera San Francescoper i PoveriCorso Concordia 320129 Milano,10,Progetto Sociale
140,abitazione,1 vani,Via Vallazze,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,10,Progetto Sociale
141,abitazione e solaio di pertinenza,"2,5 vani",Via Vallazze,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,10,Progetto Sociale
142,abitazione e solaio di pertinenza,15 mq,Via Vallazze,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,10,Progetto Sociale
